Category,YoY Change(Percent),MoM Change(Percent),Industry Name,Job Postings,State
Physical+Remote,-20,-2,Food Services and Drinking Places,12978,South Carolina
Physical+Remote,-23,2,"Professional, Scientific, and Technical Services",11725,South Carolina
Physical+Remote,-7,1,Ambulatory Health Care Services,9422,South Carolina
Physical+Remote,0,4,Hospitals,6345,South Carolina
Physical+Remote,-18,0,General Merchandise Stores,5997,South Carolina
Physical+Remote,1,2,Food and Beverage Stores,5008,South Carolina
Physical+Remote,-20,-4,Educational Services,3445,South Carolina
Physical+Remote,23,-2,Nursing and Residential Care Facilities,3333,South Carolina
Remote,4,11,"Executive, Legislative, and Other General Government Support",1146,South Carolina
Remote,-9,-5,Administrative and Support Services,1013,South Carolina
Remote,-33,1,"Professional, Scientific, and Technical Services",700,South Carolina
Remote,58,7,Insurance Carriers and Related Activities,692,South Carolina
Remote,23,35,Publishing Industries (except Internet),198,South Carolina
Remote,-65,-5,Educational Services,190,South Carolina
Remote,119,13,Ambulatory Health Care Services,171,South Carolina
Remote,4000,69,Food and Beverage Stores,164,South Carolina
Remote,51,33,Credit Intermediation and Related Activities,92,South Carolina
Remote,250,105,Real Estate,84,South Carolina
Physical+Remote,-39,5,Administrative and Support Services,5263,Rhode Island
Physical+Remote,-16,13,"Professional, Scientific, and Technical Services",4457,Rhode Island
Physical+Remote,-3,3,Ambulatory Health Care Services,2580,Rhode Island
Physical+Remote,15,18,Publishing Industries (except Internet),1730,Rhode Island
Physical+Remote,-37,2,Food Services and Drinking Places,1728,Rhode Island
Physical+Remote,-40,5,Truck Transportation,1656,Rhode Island
Physical+Remote,2,0,Health and Personal Care Stores,1555,Rhode Island
Physical+Remote,-35,16,Educational Services,1528,Rhode Island
Physical+Remote,-17,18,Insurance Carriers and Related Activities,1231,Rhode Island
Physical+Remote,15,4,Hospitals,1173,Rhode Island
Remote,40,3,Administrative and Support Services,477,Rhode Island
Remote,-18,8,"Professional, Scientific, and Technical Services",413,Rhode Island
Remote,-18,3,Insurance Carriers and Related Activities,316,Rhode Island
Remote,45,19,Publishing Industries (except Internet),152,Rhode Island
Remote,950,1,Hospitals,105,Rhode Island
Remote,53,6,Educational Services,72,Rhode Island
Remote,-12,26,Credit Intermediation and Related Activities,59,Rhode Island
Remote,315,35,Ambulatory Health Care Services,54,Rhode Island
Remote,273,-34,Computer and Electronic Product Manufacturing,41,Rhode Island
Remote,52,14,Health and Personal Care Stores,41,Rhode Island
Physical+Remote,-35,-2,Administrative and Support Services,74024,Pennsylvania
Physical+Remote,-30,6,Truck Transportation,64871,Pennsylvania
Physical+Remote,-25,-2,"Professional, Scientific, and Technical Services",44339,Pennsylvania
Physical+Remote,-9,1,Ambulatory Health Care Services,35231,Pennsylvania
Physical+Remote,-29,-1,Food Services and Drinking Places,22416,Pennsylvania
Physical+Remote,-4,-1,Educational Services,18014,Pennsylvania
Physical+Remote,3,1,Hospitals,16330,Pennsylvania
Physical+Remote,-14,-3,General Merchandise Stores,14835,Pennsylvania
Physical+Remote,87,-14,Motor Vehicle and Parts Dealers,12221,Pennsylvania
Physical+Remote,-15,1,Food and Beverage Stores,10096,Pennsylvania
Remote,26,-5,Administrative and Support Services,3506,Pennsylvania
Remote,-5,1,"Professional, Scientific, and Technical Services",2888,Pennsylvania
Remote,88,8,Insurance Carriers and Related Activities,1687,Pennsylvania
Remote,134,17,Publishing Industries (except Internet),1006,Pennsylvania
Remote,21,27,Educational Services,843,Pennsylvania
Remote,-1,-9,"Executive, Legislative, and Other General Government Support",713,Pennsylvania
Remote,53,-7,Ambulatory Health Care Services,459,Pennsylvania
Remote,129,12,Chemical Manufacturing,327,Pennsylvania
Remote,1479,52,Food and Beverage Stores,300,Pennsylvania
Remote,107,8,Credit Intermediation and Related Activities,250,Pennsylvania
Physical+Remote,-33,0,Administrative and Support Services,24733,Oregon
Physical+Remote,-22,4,"Professional, Scientific, and Technical Services",12722,Oregon
Physical+Remote,4,10,Ambulatory Health Care Services,9111,Oregon
Physical+Remote,-29,-5,Food Services and Drinking Places,6760,Oregon
Physical+Remote,-31,-7,Truck Transportation,5973,Oregon
Physical+Remote,-16,-1,Educational Services,5624,Oregon
Physical+Remote,-15,10,Hospitals,4288,Oregon
Physical+Remote,6,-5,Food and Beverage Stores,3828,Oregon
Physical+Remote,-1,16,Publishing Industries (except Internet),3526,Oregon
Physical+Remote,-11,-9,General Merchandise Stores,2838,Oregon
Remote,-13,13,"Professional, Scientific, and Technical Services",1224,Oregon
Remote,4,8,Administrative and Support Services,1157,Oregon
Remote,45,7,Insurance Carriers and Related Activities,651,Oregon
Remote,49,31,Publishing Industries (except Internet),405,Oregon
Remote,92,24,Ambulatory Health Care Services,202,Oregon
Remote,1233,52,Food and Beverage Stores,200,Oregon
Remote,-25,4,Educational Services,177,Oregon
Remote,61,11,Credit Intermediation and Related Activities,135,Oregon
Remote,11,-16,Computer and Electronic Product Manufacturing,113,Oregon
Remote,241,24,Electronics and Appliance Stores,109,Oregon
Physical+Remote,-6,-3,Truck Transportation,20610,Oklahoma
Physical+Remote,-38,2,Administrative and Support Services,16355,Oklahoma
Physical+Remote,36,11,Ambulatory Health Care Services,9754,Oklahoma
Physical+Remote,-11,6,"Professional, Scientific, and Technical Services",9446,Oklahoma
Physical+Remote,-23,-4,Food Services and Drinking Places,9055,Oklahoma
Physical+Remote,-4,0,General Merchandise Stores,6997,Oklahoma
Physical+Remote,-5,-4,Educational Services,4222,Oklahoma
Physical+Remote,40,37,Hospitals,3902,Oklahoma
Physical+Remote,-47,43,Support Activities for Transportation,2634,Oklahoma
Physical+Remote,-1,2,"Executive, Legislative, and Other General Government Support",2191,Oklahoma
Remote,2,-15,Administrative and Support Services,893,Oklahoma
Remote,-7,20,"Professional, Scientific, and Technical Services",888,Oklahoma
Remote,69,10,Insurance Carriers and Related Activities,528,Oklahoma
Remote,35,9,Educational Services,310,Oklahoma
Remote,19900,102,Food and Beverage Stores,200,Oklahoma
Remote,22,18,Telecommunications,149,Oklahoma
Remote,-12,-12,Publishing Industries (except Internet),133,Oklahoma
Remote,85,-44,Ambulatory Health Care Services,85,Oklahoma
Remote,163,21,Real Estate,63,Oklahoma
Remote,-16,6,Credit Intermediation and Related Activities,53,Oklahoma
