Category,YoY Change(Percent),MoM Change(Percent),Occupation Name,Job Postings,State
Remote,79,30,Computer User Support Specialists,276,Tennessee
Remote,176,35,Accountants and Auditors,218,Tennessee
Remote,256,-6,Telemarketers,185,Tennessee
Remote,-19,-5,Sales Managers,167,Tennessee
Remote,58,55,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",167,Tennessee
Remote,-5,13,Computer Systems Analysts,159,Tennessee
Physical+Remote,-31,10,Registered Nurses,3103,South Dakota
Physical+Remote,-28,-21,Heavy and Tractor-Trailer Truck Drivers,3037,South Dakota
Physical+Remote,-8,7,First-Line Supervisors of Retail Sales Workers,1366,South Dakota
Physical+Remote,0,9,Retail Salespersons,1021,South Dakota
Physical+Remote,45,0,Light Truck or Delivery Services Drivers,994,South Dakota
Physical+Remote,11,5,Customer Service Representatives,988,South Dakota
Physical+Remote,30,9,Licensed Practical and Licensed Vocational Nurses,705,South Dakota
Physical+Remote,4,7,Nursing Assistants,662,South Dakota
Physical+Remote,-27,1,Insurance Sales Agents,513,South Dakota
Physical+Remote,-12,2,First-Line Supervisors of Food Preparation and Serving Workers,474,South Dakota
Remote,4567,107,Telemarketers,420,South Dakota
Remote,-26,-2,Insurance Sales Agents,233,South Dakota
Remote,185,6,Customer Service Representatives,211,South Dakota
Remote,290,37,"Software Developers, Applications",164,South Dakota
Remote,329,64,"Computer Occupations, All Other",90,South Dakota
Remote,30,32,Human Resources Specialists,86,South Dakota
Remote,181,7,Computer User Support Specialists,73,South Dakota
Remote,113,5,Registered Nurses,64,South Dakota
Remote,267,77,Marketing Managers,55,South Dakota
Remote,2450,76,Loan Officers,51,South Dakota
Physical+Remote,-23,-8,Heavy and Tractor-Trailer Truck Drivers,18657,South Carolina
Physical+Remote,-27,2,Registered Nurses,10621,South Carolina
Physical+Remote,-14,0,First-Line Supervisors of Retail Sales Workers,7263,South Carolina
Physical+Remote,-7,0,Retail Salespersons,6111,South Carolina
Physical+Remote,-10,0,Customer Service Representatives,4175,South Carolina
Physical+Remote,4,25,Light Truck or Delivery Services Drivers,3518,South Carolina
Physical+Remote,-20,0,First-Line Supervisors of Food Preparation and Serving Workers,3162,South Carolina
Physical+Remote,9,6,Stock Clerks and Order Fillers,2799,South Carolina
Physical+Remote,-14,5,"Combined Food Preparation and Serving Workers, Including Fast Food",2485,South Carolina
Physical+Remote,-3,5,Speech-Language Pathologists,2460,South Carolina
Remote,34,2,Insurance Sales Agents,559,South Carolina
Remote,118,-14,Customer Service Representatives,481,South Carolina
Remote,89,1,"Software Developers, Applications",240,South Carolina
Remote,-65,-4,Postsecondary Teachers,196,South Carolina
Remote,-12,1,Social and Human Service Assistants,159,South Carolina
Remote,71,11,Computer User Support Specialists,152,South Carolina
Remote,-1,23,Accountants and Auditors,146,South Carolina
Remote,139,20,"Computer Occupations, All Other",134,South Carolina
Remote,3050,16,Childcare Workers,126,South Carolina
Remote,-4,11,Registered Nurses,108,South Carolina
Physical+Remote,-25,11,Heavy and Tractor-Trailer Truck Drivers,2477,Rhode Island
Physical+Remote,-29,13,Registered Nurses,2292,Rhode Island
Physical+Remote,9,15,"Software Developers, Applications",1297,Rhode Island
Physical+Remote,-13,5,Retail Salespersons,1193,Rhode Island
Physical+Remote,-15,5,Customer Service Representatives,1117,Rhode Island
Physical+Remote,155,37,Stock Clerks and Order Fillers,1111,Rhode Island
Physical+Remote,-17,4,First-Line Supervisors of Retail Sales Workers,1055,Rhode Island
Physical+Remote,41,52,Light Truck or Delivery Services Drivers,913,Rhode Island
Physical+Remote,5,13,"Computer Occupations, All Other",836,Rhode Island
Physical+Remote,98,13,Childcare Workers,678,Rhode Island
Remote,439,11,Customer Service Representatives,237,Rhode Island
Remote,122,-1,"Software Developers, Applications",169,Rhode Island
Remote,-18,25,Insurance Sales Agents,149,Rhode Island
Remote,160,5,"Computer Occupations, All Other",104,Rhode Island
Remote,1500,74,Loan Officers,80,Rhode Island
Remote,172,22,Marketing Managers,79,Rhode Island
Remote,131,6,Registered Nurses,74,Rhode Island
Remote,-7,10,Computer Systems Analysts,64,Rhode Island
Remote,85,11,Computer User Support Specialists,63,Rhode Island
Remote,5300,4,Childcare Workers,54,Rhode Island
Physical+Remote,-36,-2,Heavy and Tractor-Trailer Truck Drivers,69186,Pennsylvania
Physical+Remote,-44,-1,Registered Nurses,25651,Pennsylvania
Physical+Remote,-13,5,Retail Salespersons,14600,Pennsylvania
Physical+Remote,-23,0,First-Line Supervisors of Retail Sales Workers,14028,Pennsylvania
Physical+Remote,11,-6,Customer Service Representatives,12512,Pennsylvania
Physical+Remote,64,14,Stock Clerks and Order Fillers,11891,Pennsylvania
Physical+Remote,-15,21,Light Truck or Delivery Services Drivers,11040,Pennsylvania
Physical+Remote,-20,1,"Software Developers, Applications",10741,Pennsylvania
Physical+Remote,-31,7,Personal Care Aides,9293,Pennsylvania
Physical+Remote,86,-2,Licensed Practical and Licensed Vocational Nurses,8312,Pennsylvania
Remote,128,5,Insurance Sales Agents,1448,Pennsylvania
Remote,26,7,"Software Developers, Applications",1264,Pennsylvania
Remote,153,-30,Customer Service Representatives,957,Pennsylvania
Remote,3223,8,Childcare Workers,731,Pennsylvania
Remote,146,13,"Computer Occupations, All Other",558,Pennsylvania
Remote,124,12,Accountants and Auditors,442,Pennsylvania
Remote,112,11,Computer User Support Specialists,438,Pennsylvania
Remote,66,80,Registered Nurses,409,Pennsylvania
Remote,8,3,Sales Managers,388,Pennsylvania
Remote,85,36,Marketing Managers,370,Pennsylvania
Physical+Remote,-33,4,Registered Nurses,9293,Oregon
Physical+Remote,-23,-5,Heavy and Tractor-Trailer Truck Drivers,7953,Oregon
Physical+Remote,-11,2,Retail Salespersons,4198,Oregon
Physical+Remote,48,11,Stock Clerks and Order Fillers,3776,Oregon
Physical+Remote,-12,6,"Software Developers, Applications",3661,Oregon
Physical+Remote,-16,-4,First-Line Supervisors of Retail Sales Workers,3606,Oregon
Physical+Remote,7,15,Light Truck or Delivery Services Drivers,3223,Oregon
Physical+Remote,-5,4,Customer Service Representatives,3132,Oregon
Physical+Remote,141,9,Childcare Workers,2179,Oregon
Physical+Remote,21,1,Personal Care Aides,2012,Oregon
Remote,46,2,Insurance Sales Agents,559,Oregon
Remote,49,20,"Software Developers, Applications",547,Oregon
Remote,252,15,Customer Service Representatives,443,Oregon
Remote,72,24,"Computer Occupations, All Other",270,Oregon
Remote,1958,27,Childcare Workers,247,Oregon
Remote,98,20,Computer User Support Specialists,206,Oregon
Remote,66,22,Marketing Managers,203,Oregon
Remote,138,46,Accountants and Auditors,181,Oregon
Remote,-39,14,"Sales Representatives, Services, All Other",162,Oregon
Remote,-25,-12,Sales Managers,152,Oregon
Physical+Remote,-11,-7,Heavy and Tractor-Trailer Truck Drivers,22716,Oklahoma
Physical+Remote,-18,21,Registered Nurses,8917,Oklahoma
Physical+Remote,-10,0,First-Line Supervisors of Retail Sales Workers,6536,Oklahoma
Physical+Remote,9,7,Retail Salespersons,5350,Oklahoma
Physical+Remote,-2,1,Customer Service Representatives,3594,Oklahoma
Physical+Remote,-34,12,Light Truck or Delivery Services Drivers,3143,Oklahoma
Physical+Remote,-5,4,First-Line Supervisors of Food Preparation and Serving Workers,2412,Oklahoma
Physical+Remote,28,17,Stock Clerks and Order Fillers,2296,Oklahoma
Physical+Remote,12,28,Driver/Sales Workers,1954,Oklahoma
Physical+Remote,-15,7,"Combined Food Preparation and Serving Workers, Including Fast Food",1785,Oklahoma
Remote,333,-14,Customer Service Representatives,662,Oklahoma
Remote,32,-1,Insurance Sales Agents,467,Oklahoma
Remote,231,45,"Software Developers, Applications",298,Oklahoma
Remote,100,5,Computer User Support Specialists,170,Oklahoma
Remote,779,15,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",167,Oklahoma
Remote,114,28,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",141,Oklahoma
Remote,-20,23,"Sales Representatives, Services, All Other",140,Oklahoma
Remote,316,-28,Telemarketers,133,Oklahoma
Remote,228,39,"Computer Occupations, All Other",131,Oklahoma
Remote,181,57,Accountants and Auditors,118,Oklahoma
